a0,sig1,b0,sig2,rho,n
-0.313309,0.091472,13.038183,1.083242,-0.46561,205
0.436268,0.287117,13.106382,1.722837,-0.597562,16
-0.797215,0.005168,12.073971,0.293501,-0.060841,511
-0.660059,0.021258,11.735655,0.272666,0.197218,489
-0.228344,0.111005,11.353982,0.641771,-0.335397,216
-0.619269,0.029729,10.252054,0.170996,0.126238,160
0.822023,0.12985,30.621305,2.558195,-0.745312,7
1.075838,0.141729,9.474686,0.000469,0.483014,3
-0.972502,0.003932,13.121165,0.2776,-0.043707,474
-0.795935,0.023115,12.89174,0.581597,-0.067187,672
-0.189096,0.044598,12.466374,0.790442,-0.301615,132
-0.787734,0.030775,11.32637,0.170013,0.311185,94
1.254036,0.17232,11.263191,0.004153,0.508889,2
0.347932,0.007367,14.613952,1.692561,-0.430289,9
0.907925,0.007016,37.958709,1.102329,-0.630308,3
-0.757579,0.007413,13.00464,0.37328,-0.114982,762
-0.505589,0.014486,12.730934,0.825118,-0.548319,352
-0.08246,0.064727,12.373223,1.061562,-0.469569,149
-0.679921,0.015847,11.383288,0.219217,0.334694,108
0.505426,0.136825,27.007773,0.000546,0.414547,13
1.277998,0.069399,9.98841,0.731186,-0.431202,2
